85Rb,0.48,6.7,1.532,84.9117897379
87Rb,0.12,7.1,1.532,86.909180531
Sr,1.28,6.25,2.54,87.62
84Sr,0.87,6.,2.54,83.9134191
86Sr,1.04,4.04,2.54,85.9092606
87Sr,16.,7.4,2.54,86.9088775
88Sr,0.058,6.42,2.54,87.9056125
Y,1.28,7.7,4.47,88.90584
Zr,0.185,6.46,6.506,91.224
90Zr,0.011,5.1,6.506,89.9046977
91Zr,1.17,9.7,6.506,90.9056396
92Zr,0.22,6.9,6.506,91.9050347
94Zr,0.0499,8.4,6.506,93.9063108
96Zr,0.0229,3.8,6.506,95.9082714
Nb,1.15,6.255,8.57,92.90637
Mo,2.48,5.71,10.22,95.95
92Mo,0.019,6,10.22,91.90680796
94Mo,0.015,5.81,10.22,93.9050849
95Mo,13.1,6.5,10.22,94.90583877
96Mo,0.5,4.83,10.22,95.90467612
97Mo,2.5,7.1,10.22,96.90601812
98Mo,0.127,5.44,10.22,97.90540482
100Mo,0.4,5.69,10.22,99.907
Tc,20.,6.3,11.5,98
Ru,2.56,6.6,12.41,101.07
96Ru,0.28,---,12.41,95.90759025
98Ru,8.,---,12.41,97.9052868
99Ru,6.9,---,12.41,98.9059341
100Ru,4.8,---,12.41,99.9042143
101Ru,3.3,---,12.41,100.9055769
102Ru,1.17,144.8,12.41,101.9043441
104Ru,0.31,4.483,12.41,103.9054275
Rh,144.8,4.6,12.41,102.9055
Pd,6.9,4.48,12.02,106.42
102Pd,3.4,7.5,12.02,101.9056022
104Pd,0.6,7.5,12.02,103.9040305
105Pd,20.,4.6,12.02,104.9050796
106Pd,0.304,5.1,12.02,105.9034804
108Pd,8.55,2.1,12.02,107.9038916
110Pd,0.226,7.5,12.02,109.9051722
Ag,63.3,4.99,10.5,107.8682
107Ag,37.6,7.3,10.5,106.9050916
109Ag,91.0,2.5,10.5,108.9047553
Cd,2520.,6.5,8.65,112.414
106Cd,1,3.1,8.65,105.9064599
108Cd,1.1,3.7,8.65,107.9041834
110Cd,11,4.4,8.65,109.90300661
111Cd,24,5.6,8.65,110.90418287
112Cd,2.2,5.1,8.65,111.90276287
113Cd,20600.,12.4,8.65,112.90440813
114Cd,0.34,7.1,8.65,113.90336509
116Cd,0.075,5,8.65,115.90476315
In,193.8,2.62,7.31,114.818
113In,12.0,3.65,7.31,112.90406184
115In,202.,2.57,7.31,114.903878776
Sn,0.626,4.892,7.31,118.71
112Sn,1,4.5,7.31,111.90482387
114Sn,0.114,4.8,7.31,113.9027827
115Sn,30.,4.8,7.31,114.903344699
116Sn,0.14,4.42,7.31,115.9017428
117Sn,2.3,5.6,7.31,116.90295398
118Sn,0.22,4.63,7.31,117.90160657
119Sn,2.2,5,7.31,118.90331117
120Sn,0.14,5.29,7.31,119.90220163
122Sn,0.18,4.14,7.31,121.9034438
124Sn,0.133,4.48,7.31,123.9052766
Sb,4.91,3.9,6.691,121.76
121Sb,5.75,4.1,6.691,120.903812
123Sb,3.8,3.64,6.691,122.9042132
Te,4.7,4.32,6.24,127.6
120Te,2.3,3.5,6.24,119.9040593
122Te,3.4,1.8,6.24,121.9030435
123Te,418.,0.52,6.24,122.9042698
124Te,6.8,8,6.24,123.9028171
125Te,1.55,3.18,6.24,124.9044299
126Te,1.04,3.88,6.24,125.9033109
128Te,0.215,4.36,6.24,127.90446128
130Te,0.29,4.55,6.24,129.906222748
I,6.15,3.81,4.93,126.90447
Xe,23.9,---,3.52,131.293
124Xe,165.,---,3.52,123.905892
126Xe,3.5,---,3.52,125.9042983
128Xe,<8,---,3.52,127.903531
129Xe,21.,---,3.52,128.9047808611
130Xe,<26.,---,3.52,129.903509349
131Xe,85.,---,3.52,130.90508406
132Xe,0.45,---,3.52,131.9041550856
134Xe,0.265,---,3.52,133.90539466
136Xe,0.26,---,3.52,135.907214484
Cs,29.0,3.9,1.873,132.90545196
Ba,1.1,3.38,3.5,137.327
130Ba,30.,1.6,3.5,129.9063207
132Ba,7,7.6,3.5,131.9050611
134Ba,2.0,4.08,3.5,133.90450818
135Ba,5.8,3.2,3.5,134.90568838
136Ba,0.68,3.03,3.5,135.90457573
137Ba,3.6,6.4,3.5,136.90582714
138Ba,0.27,2.94,3.5,137.905247
La,8.97,9.66,6.15,138.90547
138La,57.,8.5,6.15,137.9071149
139La,8.93,9.66,6.15,138.9063563
Ce,0.63,2.94,6.757,140.116
136Ce,7.3,4.23,6.757,135.90712921
138Ce,1.1,5.64,6.757,137.905991
140Ce,0.57,2.94,6.757,139.9054431
142Ce,0.95,2.84,6.757,141.9092504
Pr,11.5,2.66,6.773,140.90766
Nd,50.5,16.6,7.007,144.242
142Nd,18.7,7.5,7.007,141.907729
143Nd,337.,80.,7.007,142.90982
144Nd,3.6,1,7.007,143.910093
